Country,Country Code,International Prefix,National Prefix,National Number,UTC/DST*,Note
Afghanistan,93,0,0,9 digits,4.3, 
Albania,355,0,0,3 to 9 digits,+1/+2, 
Algeria,213,0,0,"8, 9 digits",1, 
American Samoa,1,11,1,(684)+7 digits,-11, 
Andorra,376,0,...,"6, 8, 9 digits",+1/+2, 
Angola,244,0,0,9 digits,1, 
Anguilla,1,11,1,(264)+7 digits,-4, 
Antigua and Barbuda,1,11,1,(268)+7 digits,-4, 
Argentina,54,0,0,10 digits,-3, 
Armenia,374,0,0,8 digits,+4/+5, 
Aruba,297,0,...,7 digits,-4, 
Australia,61,11,0,5 to 15 digits,+10/+11,12
Australian External Territories,672,0,0,6 digits,11.3,8
Austria,43,0,0,4 to 13 digits,+1/+2, 
Azerbaijan,994,0,0,8 to 9 digits,+4/+5, 
Bahamas,1,11,1,(242)+7 digits,-5/-4, 
Bahrain,973,0,...,8 digits,3, 
Bangladesh,880,0,0,6 to 10 digits,6, 
Barbados,1,11,1,(246)+7 digits,-4, 
Belarus,375,810,8,9 to 10 digits,+2/+3, 
Belgium,32,0,0,8 to 9 digits,+1/+2,2
Belize,501,0,...,7 digits,-6, 
Benin,229,0,...,8 digits,1, 
Bermuda,1,11,1,(441)+7 digits,-4/-3, 
Bhutan,975,0,...,7 to 8 digits,6, 
Bolivia (Plurinational State of),591,0,0,8 digits,-4, 
"Bonaire, Sint Eustatius and Saba",599,0,0,7 digits,-4, 
Bosnia and Herzegovina,387,0,0,8 digits,+1/+2, 
Botswana,267,0,...,7 to 8 digits,2, 
Brazil,55,0,0,10 digits,-3/-2,18
British Virgin Islands,1,11,1,(284)+7 digits,-4, 
Brunei Darussalam,673,0,...,7 digits,8, 
Bulgaria,359,0,0,7 to 9 digits,+2/+3,2
Burkina Faso,226,0,...,8 digits,UTC, 
Burundi,257,0,...,8 digits,2, 
Cambodia,855,"001, 007",0,8 digits,7, 
Cameroon,237,0,...,8 digits,1, 
Canada,1,11,1,10 digits,-5/-4,11
Cape Verde,238,0,...,7 digits,-1, 
Cayman Islands,1,11,1,(345)+7 digits,-5, 
Central African Rep.,236,0,...,8 digits,1, 
Chad,235,0,...,8 digits,1, 
Chile,56,1YZ0,1YZ,8 to 9 digits,-4/-3,14
China,86,0,0,5 to 12 digits,8, 
Colombia,57,009/007/005,9/7/2005,"8, 10 digits",-5,1
Comoros,269,0,...,7 digits,3, 
Congo,242,0,...,9 digits,1, 
Cook Islands,682,0,...,5 digits,-10, 
Costa Rica,506,0,...,8 digits,-6, 
Côte d'Ivoire,225,0,...,8 digits,UTC, 
Croatia,385,0,0,8 to 12 digits,+1/+2, 
Cuba,53,119,0,6 to 8 digits,-5/-4, 
Curaçao,599,0,0,7 to 8 digits,-4, 
Cyprus,357,0,...,"8, 11 digits",+2/+3,20
Czech Rep.,420,0,...,4 to 12 digits,+1/+2, 
Dem. People's Rep. of Korea,850,0,0,6 to 17 digits,9, 
Dem. Rep. of the Congo,243,0,0,5 to 9 digits,1, 
Denmark,45,0,...,8 digits,+1/+2, 
Diego Garcia,246,0,...,7 digits,6, 
Djibouti,253,0,...,6 digits,3, 
Dominica,1,11,1,(767)+7 digits,-4, 
Dominican Rep.,1,11,1,(809/829)+7 digits,-4, 
Ecuador,593,0,0,8 digits,-5, 
Egypt,20,0,0,7 to 9 digits,+2/+3, 
El Salvador,503,0,...,"7, 8, 11 digits",-6,15
Equatorial Guinea,240,0,...,9 digits,1, 
Eritrea,291,0,0,7 digits,3, 
Estonia,372,0,...,7 to 10 digits,+2/+3, 
Ethiopia,251,0,0,9 digits,3, 
Falkland Islands (Malvinas),500,0,...,5 digits,-4/-3, 
Faroe Islands,298,0,...,6 digits,UTC/+1, 
Fiji,679,0,...,7 digits,+12/+13, 
Finland,358,"00,99X",0,5 to 12 digits,+2/+3, 
France,33,0,0,9 digits,+1/+2,2
French Dep. and Territories in the Indian Ocean,262,0,...,9 digits,"+3, +4", 
French Guiana,594,0,...,9 digits,-3, 
French Polynesia,689,0,...,6 digits,-10, 
Gabon,241,0,...,"6, 7 digits",1, 
Gambia,220,0,...,7 digits,UTC, 
Georgia,995,0,0,9 digits,4, 
Germany,49,0,0,6 to 13 digits,+1/+2, 
Ghana,233,0,0,5 to 9 digits,UTC, 
Gibraltar,350,0,...,8 digits,+1/+2, 
"Global Mobile Satellite System (GMSS), shared",881, , , , , 
Greece,30,0,0,10 digits,+2/+3,2
Greenland,299,0,...,6 digits,-3/-2, 
Grenada,1,11,1,(473)+7 digits,-4, 
"Group of countries, shared code",388, , , , , 
Guadeloupe,590,0,...,9 digits,-4, 
Guam,1,11,1,(671)+7 digits,10, 
Guatemala,502,0,...,8 digits,-6, 
Guinea,224,0,...,8 digits,UTC, 
Guinea-Bissau,245,0,...,7 digits,UTC, 
Guyana,592,1,...,7 digits,-4, 
Haiti,509,0,...,8 digits,-5, 
Honduras,504,0,...,8 digits,-6, 
"Hong Kong, China",852,1,...,"4, 8 to 9 digits",8, 
Hungary,36,0,6,8 to 9 digits,+1/+2,7
Iceland,354,0,...,"7, 9 digits",UTC, 
India,91,0,0,7 to 10 digits,5.3, 
Indonesia,62,1.008,0,5 to 10 digits,7,6
Inmarsat SNAC,870,0,...,9 digits, , 
International Freephone Service,800,...,...,8 digits, , 
"International Networks, shared code",882, , , , , 
"International Networks, shared code",883, , , , , 
International Premium Rate Service (IPRS),979,...,...,9 digits, , 
International Shared Cost Service (ISCS),808,...,...,8 digits, , 
Iran (Islamic Republic of),98,0,0,6 to 10 digits,+3.30/+4.30, 
Iraq,964,0,0,8 to 10 digits,3, 
Ireland,353,0,0,7 to 11 digits,UTC/+1,3
Israel,972,"""00,012,013,",,,,
"014""",0,8 to 9 digits,+2/+3, ,,
Italy,39,0,...,up to 11 digits,+1/+2,5
Jamaica,1,11,1,(876)+7 digits,-5, 
Japan,81,10,0,5 to 13 digits,9, 
Jordan,962,0,0,5 to 9 digits,+2/+3, 
Kazakhstan,7,810,8,10 digits,6, 
Kenya,254,0,0,6 to 10 digits,3,19
Kiribati,686,0,...,5 digits,12, 
Korea (Rep. of),82,1.002,0.082,8 to 11 digits,9, 
Kuwait,965,0,...,"7, 8 digits",3, 
Kyrgyzstan,996,0,0,9 digits,6, 
Lao P.D.R.,856,0,0,8 to 10 digits,7, 
Latvia,371,0,...,"7, 8 digits",+2/+3, 
Lebanon,961,0,0,7 to 8 digits,+2/+3, 
Lesotho,266,0,...,8 digits,2, 
Liberia,231,0,...,7 to 8 digits,UTC, 
Libya,218,0,0,8 to 9 digits,2, 
Liechtenstein,423,0,...,7 to 9 digits,+1/+2, 
Lithuania,370,0,0,8 digits,+2/+3, 
Luxembourg,352,0,...,4 to 11 digits,+1/+2, 
"Macao, China",853,0,...,7 to 8 digits,8, 
Madagascar,261,0,...,9 to 10 digits,3, 
Malawi,265,0,...,"7, 8 digits",2, 
Malaysia,60,0,0,7 to 9 digits,8,9
Maldives,960,0,...,7 digits,5, 
Mali,223,0,...,8 digits,UTC, 
Malta,356,0,...,8 digits,+1/+2, 
Marshall Islands,692,11,1,7 digits,12, 
Martinique,596,0,...,9 digits,-4, 
Mauritania,222,0,...,7 digits,UTC, 
Mauritius,230,0,...,7 digits,4,22
Mexico,52,0,1,10 digits,-6/-5,10
Micronesia,691,11,1,7 digits,11, 
Moldova (Republic of),373,0,0,8 digits,+2/+3, 
Monaco,377,0,...,5 to 9 digits,+1/+2, 
Mongolia,976,1,0,7 to 8 digits,8, 
Montenegro,382,0,0,4 to 12 digits,+1/+2, 
Montserrat,1,11,1,(664)+7 digits,-4, 
Morocco,212,0,0,9 digits,UTC,2
Mozambique,258,0,...,8 to 9 digits,2, 
Myanmar,95,0,0,7 to 9 digits,6.3, 
Namibia,264,0,0,6 to 10 digits,+1/+2, 
Nauru,674,0,...,"4, 7 digits",12, 
Nepal,977,0,0,8 to 9 digits,5.45, 
Netherlands,31,0,0,9 digits,+1/+2, 
New Caledonia,687,0,...,6 digits,11, 
New Zealand,64,0,0,3 to 10 digits,+12/+13, 
Nicaragua,505,0,...,8 digits,-6, 
Niger,227,0,...,8 digits,1, 
Nigeria,234,9,0,7 to 10 digits,1, 
Niue,683,0,...,4 digits,-11, 
Northern Marianas,1,11,1,(670)+7 digits,10, 
Norway,47,0,...,"5, 8 digits",+1/+2, 
Oman,968,0,...,7 to 8 digits,4, 
Pakistan,92,0,0,8 to 11 digits,5, 
Palau,680,11,...,7 digits,9, 
Panama,507,0,...,"7, 8 digits",-5,23
Papua New Guinea,675,0,...,4 to 11 digits,10, 
Paraguay,595,0,0,5 to 9 digits,-4/-3, 
Peru,51,0,0,8 to 11 digits,-5, 
Philippines,63,0,0,8 to 10 digits,8, 
Poland,48,0,0,6 to 9 digits,+1/+2, 
Portugal,351,0,...,"9, 11 digits",UTC/+1, 
Puerto Rico,1,11,1,(787/939)+7 digits,-4, 
Qatar,974,0,...,3 to 8 digits,3, 
Romania,40,0,0,9 digits,+2/+3, 
Russian Federation,7,810,8,10 digits,4,17
Rwanda,250,0,...,9 digits,2, 
"Saint Helena, Ascension and Tristan da Cunha",247,0,...,4 digits,UTC, 
"Saint Helena, Ascension and Tristan da Cunha",290,0,...,4 digits,UTC,4
Saint Kitts and Nevis,1,11,1,(869)+7 digits,-4, 
Saint Lucia,1,11,1,(758)+7 digits,-4, 
Saint Pierre and Miquelon,508,0,...,6 digits,-3/-2, 
Saint Vincent and the Grenadines,1,11,1,(784)+7 digits,-4, 
Samoa,685,0,...,3 to 7 digits,-11/-10, 
San Marino,378,0,...,6 to 10 digits,+1/+2,5
Sao Tome and Principe,239,0,...,7 digits,UTC, 
Saudi Arabia,966,0,0,8 to 9 digits,3, 
Senegal,221,0,...,9 digits,UTC, 
Serbia,381,0,0,4 to 12 digits,+1/+2, 
Seychelles,248,0,...,7 digits,4, 
Sierra Leone,232,0,0,8 digits,UTC, 
Singapore,65,1.008,...,8 to 12 digits,8,9
Sint Maarten (Dutch part),1,11,1,(721) + 7 digits,-4, 
Slovakia,421,0,0,4 to 9 digits,+1/+2, 
Slovenia,386,0,0,8 digits,+1/+2, 
Solomon Islands,677,0,...,5 digits,11, 
Somalia,252,0,...,5 to 8 digits,3, 
South Africa,27,0,0,9 digits,2,2
South Sudan,211,0,0, ,3, 
Spain,34,0,...,9 digits,+1/+2, 
Sri Lanka,94,0,0,9 digits,5.3, 
Sudan,249,0,0,9 digits,3, 
Suriname,597,0,0,6 to 7 digits,-3, 
Swaziland,268,0,...,7 to 8 digits,2, 
Sweden,46,0,0,7 to 13 digits,+1/+2, 
Switzerland,41,0,0,4 to 12 digits,+1/+2,2
Syrian Arab Republic,963,0,0,8 to 10 digits,+2/+3, 
"Taiwan, China",886,2,0,8 to 9 digits,8, 
Tajikistan,992,810,8,9 digits,5, 
Tanzania,255,0,0,9 digits,3,19
Telecommunications for Disaster Relief (TDR),888, , , , , 
Thailand,66,1,0,"8, 9 digits",7,2
The Former Yugoslav Republic of Macedonia,389,0,0,8 digits,+1/+2, 
Timor-Leste,670,0,...,7 digits,9, 
Togo,228,0,...,8 digits,UTC, 
Tokelau,690,0,...,4 digits,-10, 
Tonga,676,0,...,"5, 7 digits",13, 
Trial of a proposed new international service,991, , , , , 
Trinidad and Tobago,1,11,1,(868)+7 digits,-4, 
Tunisia,216,0,...,8 digits,1, 
Turkey,90,0,0,10 digits,+2/+3, 
Turkmenistan,993,810,8,8 digits,5, 
Turks and Caicos Islands,1,0,1,(649)+7 digits,-5/-4, 
Tuvalu,688,0,...,"5, 6 digits",12, 
Uganda,256,0,0,9 digits,3,19
Ukraine,380,0,0,9 digits,+2/+3, 
United Arab Emirates,971,0,0,8 to 9 digits,4, 
United Kingdom,44,0,0,7 to 10 digits,UTC/+1, 
United States,1,11,1,10 digits,-5/-4,21
United States Virgin Islands,1,11,1,(340)+7 digits,-4, 
Universal Personal Telecommunication (UPT),878, , , , , 
Uruguay,598,0,0,4 to 11 digits,-3/-2, 
Uzbekistan,998,810,8,9 digits,5, 
Vanuatu,678,0,...,"5, 7 digits",11, 
Vatican,379,..., , , ,16
Vatican,39,0,...,up to 11 digits,+1/+2, 
Venezuela (Bolivarian Republic of),58,0,0,10 digits,-4.3, 
Viet Nam,84,0,0,7 to 10 digits,7, 
Wallis and Futuna,681,0,...,6 digits,12, 
Yemen,967,0,0,6 to 9 digits,3, 
Zambia,260,0,0,9 digits,2, 
Zimbabwe,263,0,0,5 to 10 digits,2, 
Reserved,970, , , , ,13
